,user,futureSelf,goal,conversation_level,profile,age,timezone,chatnumber,date,program,dialogueId,messageId,timestamp,phase,interaction,user_status,start_mood,member,user_assigned_ratings,textfull,botresponse,botquestion,user_assigned_feedback
0,0PCzX1XmplZcGdRS9n2Ox6IYeJC2,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Asia/Calcutta,1,2023-01-24 06:00:38.691000+00:00,discipline,fTHHbpsqMRzPE0b9yz3w,tN9g5H7bvWVfXLiRUBfY,2023-01-22 22:28:29+00:00,general,app,active,,user,,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",,,
1,0PCzX1XmplZcGdRS9n2Ox6IYeJC2,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Asia/Calcutta,1,2023-01-24 06:00:38.691000+00:00,focus,fTHHbpsqMRzPE0b9yz3w,xH0Q68J27MyhdT3Er1hU,2023-01-22 22:28:35+00:00,general,app,active,,user,,I want to improve Focus,,,
2,0PCzX1XmplZcGdRS9n2Ox6IYeJC2,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Asia/Calcutta,1,2023-01-24 06:00:38.691000+00:00,focus,fTHHbpsqMRzPE0b9yz3w,y7O72DYbUivIrCjydffl,2023-01-22 22:28:39+00:00,general,app,active,,user,,I want to start with tasks,,,
3,0PCzX1XmplZcGdRS9n2Ox6IYeJC2,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Asia/Calcutta,1,2023-01-24 06:00:38.691000+00:00,strategic_thinking,fTHHbpsqMRzPE0b9yz3w,K0GJBhEvxZGdT3tWjqS7,2023-01-22 22:29:00+00:00,general,app,active,,user,,I want to start with I am ready,,,
4,0PCzX1XmplZcGdRS9n2Ox6IYeJC2,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Asia/Calcutta,1,2023-01-24 06:00:38.691000+00:00,personal_purpose,fTHHbpsqMRzPE0b9yz3w,p5aDBoiAK3SAoM9yRJhM,2023-01-22 22:29:28+00:00,general,app,active,,user,,I want to improve Network and Relations,,,
5,0PCzX1XmplZcGdRS9n2Ox6IYeJC2,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Asia/Calcutta,1,2023-01-24 06:00:38.691000+00:00,personal_purpose,fTHHbpsqMRzPE0b9yz3w,zLAsUG1LbLZ7uTeLijR1,2023-01-22 22:29:32+00:00,general,app,active,,user,,I want to improve Leadership,,,
6,0PCzX1XmplZcGdRS9n2Ox6IYeJC2,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Asia/Calcutta,1,2023-01-24 06:00:38.691000+00:00,persuasion,fTHHbpsqMRzPE0b9yz3w,hDMrKc5PMkHPwOwxLqNZ,2023-01-22 22:29:38+00:00,general,app,active,,user,,I want to improve Clear Messages,,,
7,0PCzX1XmplZcGdRS9n2Ox6IYeJC2,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Asia/Calcutta,1,2023-01-24 06:00:38.691000+00:00,mental_wellness,fTHHbpsqMRzPE0b9yz3w,DMSLjlqZ1qSzpjdQ1Rvu,2023-01-22 22:29:51+00:00,general,app,active,,user,,Life-Balance. I want to improve my physical and mental wellbeing.,,,
8,0PsHmWJ47jYOSwDAqamk9oCFAAt1,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Europe/Rome,1,2022-05-09 09:38:46.984000+00:00,personal_purpose,rCiHET9LmHsClUOrAWc0,xFTt9ty3aYLtcQYZwkur,2022-05-09 01:58:01+00:00,general,app,active,,coach,,What is your interest?,What is your interest?,,
9,0PsHmWJ47jYOSwDAqamk9oCFAAt1,The Entrepreneur,"I aspire to be a person who is ambitious, future-oriented, and who takes on projects.",1,executive,29 to 99,Europe/Rome,1,2022-05-09 09:38:46.984000+00:00,personal_purpose,rCiHET9LmHsClUOrAWc0,iUnJayGqx3gtLa7uT7tY,2022-05-09 01:58:02+00:00,general,app,active,,user,,I want to start with tasks,,,
