,user,futureSelf,goal,conversation_level,profile,age,timezone,chatnumber,date,program,dialogueId,messageId,timestamp,phase,interaction,user_status,start_mood,member,user_assigned_ratings,textfull,botresponse,botquestion,user_assigned_feedback
0,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,performance,lmJZaZN32vxUz9DIHNEC,4bOiYn29i0MqldGruLRB,2022-11-06 13:58:07+00:00,general,app,active,,user,,Meaning. I want to sharpen my ability to think and make decisions.,,,
1,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,strategic_thinking,lmJZaZN32vxUz9DIHNEC,SBfENVoNo3DX3EptHpje,2022-11-06 13:58:40+00:00,general,app,active,,user,,I want to start with I am ready,,,
2,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,continuous_learning,lmJZaZN32vxUz9DIHNEC,hjKAawSyTzbpqCZsHrDu,2022-11-06 13:58:58+00:00,general,app,active,,user,,I want to improve Self-Appreciation,,,
3,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,mental_wellness,lmJZaZN32vxUz9DIHNEC,wUeDgJ8ZMNSS9n5wqqzV,2022-11-06 13:59:02+00:00,general,app,active,,user,,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",,,
4,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,performance,lmJZaZN32vxUz9DIHNEC,W0OVb87EH8CUoTMCvigE,2022-11-06 13:59:09+00:00,general,app,active,,user,,Meaning. I want to sharpen my ability to think and make decisions.,,,
5,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,resilience,lmJZaZN32vxUz9DIHNEC,RqITzFhIGml4ChtMbLAb,2022-11-06 13:59:26+00:00,general,app,active,,user,,I want to start with lifestyle,,,
6,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,personal_purpose,lmJZaZN32vxUz9DIHNEC,4IYKcAgsIdioDINCJPVD,2022-11-06 13:59:41+00:00,general,app,active,,user,,personal purpose,,,
7,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,positive_thinking,lmJZaZN32vxUz9DIHNEC,IC8O5bY3K0HcrD4K8lZW,2022-11-06 13:59:45+00:00,general,app,active,,user,,I'm ready for my self-assessment,,,
8,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,personal_purpose,lmJZaZN32vxUz9DIHNEC,ZDBaG24QuF4IdxQ7Z7Ya,2022-11-06 13:59:51+00:00,general,app,active,,user,,Personal Purpose,,,
9,dLNSjtmeh0dFg0EWN6ebEe1m8xA3,The Mindful,"I aim to be a balanced, and positive person who enhances the mental wellbeing.",1,professional,19 to 99,Africa/Lagos,1,2022-11-07 16:35:38.864000+00:00,mental_wellness,lmJZaZN32vxUz9DIHNEC,rLmB4A4JV3ZsI3orqxP3,2022-11-06 13:59:51+00:00,general,app,active,,user,,I want to improve Emotional Control,,,
